sample_id,model,dice,iou,mask_ratio,fp_ratio,fn_ratio
benign_151,U-KAN(no-KAN),0.921501706484642,0.854430379746835,0.0087738037109375,0.0991304347826087,0.0608695652173913
benign_151,U-KAN,0.934018851756641,0.87620578778135,0.0087738037109375,0.0817391304347826,0.0521739130434783
benign_151,Attention-U-KAN,0.937655860349127,0.882629107981221,0.0087738037109375,0.111304347826087,0.0191304347826087
benign_167,U-Net,0.929598788796366,0.868458274398868,0.009765625,0.1046875,0.040625
benign_167,U-KAN(no-KAN),0.91812865497076,0.848648648648649,0.009765625,0.15625,0.01875
benign_167,U-KAN,0.920535011801731,0.852769679300292,0.009765625,0.071875,0.0859375
benign_167,Attention-U-KAN,0.938807126258714,0.884671532846715,0.009765625,0.0703125,0.053125
benign_169,U-Net,0.861372812920592,0.756501182033097,0.005279541015625,0.222543352601156,0.0751445086705202
benign_169,U-KAN(no-KAN),0,0,0.005279541015625,5.65606936416185,1
benign_169,U-KAN,0.354733405875952,0.215608465608466,0.005279541015625,3.36994219653179,0.0578034682080925
benign_169,Attention-U-KAN,0.723358449946179,0.566610455311973,0.005279541015625,0.713872832369942,0.0289017341040462
benign_174,U-Net,0.971041380979269,0.943712762621511,0.09429931640625,0.0320388349514563,0.0260517799352751
benign_174,U-KAN(no-KAN),0.977644581240888,0.956266835683727,0.09429931640625,0.0211974110032362,0.023462783171521
benign_174,U-KAN,0.973789499469258,0.948917886696372,0.09429931640625,0.0168284789644013,0.0351132686084142
benign_174,Attention-U-KAN,0.976865005276402,0.954776261504284,0.09429931640625,0.0197411003236246,0.0263754045307443
benign_175,U-Net,0.936934124258508,0.881350954478708,0.0516357421875,0.00620567375886525,0.113179669030733
benign_175,U-KAN(no-KAN),0.911517077045274,0.837419731465266,0.0516357421875,0.0124113475177305,0.152186761229314
benign_175,U-KAN,0.921860170832015,0.855046948356808,0.0516357421875,0.00709219858156028,0.138888888888889
benign_175,Attention-U-KAN,0.928178532138928,0.865982404692082,0.0516357421875,0.00768321513002364,0.127364066193853
benign_176,U-Net,0.889267461669506,0.800613496932515,0.014404296875,0.0360169491525424,0.170550847457627
benign_176,U-KAN(no-KAN),0.847030593881224,0.734651404786681,0.014404296875,0.0180084745762712,0.252118644067797
benign_176,U-KAN,0.853745541022592,0.744813278008299,0.014404296875,0.0211864406779661,0.239406779661017
benign_176,Attention-U-KAN,0.895406751521859,0.81062124248497,0.014404296875,0.0572033898305085,0.143008474576271
benign_177,U-Net,0.667623146819703,0.501076812634602,0.0107269287109375,0.981507823613087,0.00711237553342817
benign_177,U-KAN(no-KAN),0.920447074293228,0.852618757612667,0.0107269287109375,0.167852062588905,0.0042674253200569
benign_177,U-KAN,0.949152542372881,0.903225806451613,0.0107269287109375,0.102418207681366,0.0042674253200569
benign_177,Attention-U-KAN,0.929144385026738,0.867665418227216,0.0107269287109375,0.139402560455192,0.0113798008534851
benign_181,U-Net,0.866008230452675,0.763681230947888,0.080596923828125,0.304240817872018,0.00397576675501704
benign_181,U-KAN(no-KAN),0.890097747556311,0.801960483994486,0.080596923828125,0.23608481635744,0.00870882241575161
benign_181,U-KAN,0.892229299363057,0.805427782888684,0.080596923828125,0.234759560772435,0.0054903445664521
benign_181,Attention-U-KAN,0.918107211454514,0.848612007746933,0.080596923828125,0.173040514956456,0.00454373343430519
benign_184,U-Net,0.954381686159304,0.91274385072095,0.143157958984375,0.00532935408228523,0.0823918141121296
benign_184,U-KAN(no-KAN),0.951020181242008,0.906614373542506,0.143157958984375,0.00554252824557664,0.0883606906842891
benign_184,U-KAN,0.962523354214749,0.927754237288136,0.143157958984375,0.00618205073545086,0.0665103389469196
benign_184,Attention-U-KAN,0.957487137828324,0.918441558441558,0.143157958984375,0.0259006608399062,0.0577701982519719
benign_185,U-Net,0.901554404145078,0.820754716981132,0.007415771484375,0.0905349794238683,0.104938271604938
benign_185,U-KAN(no-KAN),0.915104740904079,0.84349593495935,0.007415771484375,0.0123456790123457,0.146090534979424
benign_185,U-KAN,0.855123674911661,0.746913580246914,0.007415771484375,0,0.253086419753086
benign_185,Attention-U-KAN,0.930032292787944,0.869215291750503,0.007415771484375,0.0226337448559671,0.111111111111111
benign_186,U-Net,0.965490500193874,0.93328335832084,0.0781707763671875,0.0415772008588718,0.0279133320320125
benign_186,U-KAN(no-KAN),0.974866569626395,0.95096554335479,0.0781707763671875,0.0310365020495803,0.0195198126097989
benign_186,U-KAN,0.970156414931388,0.942042489750279,0.0781707763671875,0.0474331446418114,0.0132734725746633
benign_186,Attention-U-KAN,0.967022401692145,0.936150409530901,0.0781707763671875,0.0486043333983994,0.018348623853211
benign_193,U-Net,0.424736663268773,0.26962899050906,0.01019287109375,2.47005988023952,0.0643712574850299
benign_193,U-KAN(no-KAN),0.244482824793706,0.139265413205072,0.01019287109375,5.84730538922156,0.0464071856287425
benign_193,U-KAN,0.958333333333333,0.92,0.01019287109375,0.0479041916167665,0.0359281437125748
benign_193,Attention-U-KAN,0.956585724797645,0.916784203102962,0.01019287109375,0.061377245508982,0.0269461077844311
benign_194,U-Net,0.858052533828602,0.75139405204461,0.0305023193359375,0.0765382691345673,0.191095547773887
benign_194,U-KAN(no-KAN),0.879287771667976,0.784579439252336,0.0305023193359375,0.0705352676338169,0.16008004002001
benign_194,U-KAN,0.84186313973548,0.726911618669315,0.0305023193359375,0.00750375187593797,0.267633816908454
benign_194,Attention-U-KAN,0.898550724637681,0.815789473684211,0.0305023193359375,0.140570285142571,0.0695347673836918
benign_196,U-Net,0.106356460324055,0.056164984642387,0.034515380859375,0.00751547303271441,0.94341290893015
benign_196,U-KAN(no-KAN),0.842228464419476,0.727456530529721,0.034515380859375,0.0932802829354553,0.204686118479222
benign_196,U-KAN,0.158348968105066,0.0859820700896495,0.034515380859375,0.0848806366047745,0.906719717064545
benign_196,Attention-U-KAN,0.897169025811823,0.813514533786334,0.034515380859375,0.171087533156499,0.0473032714412025
benign_200,U-Net,0.965005793742758,0.932377966860725,0.128952026367188,0.0569163412613892,0.0145544905928293
benign_200,U-KAN(no-KAN),0.960684736091298,0.92434391127704,0.128952026367188,0.0776239498284227,0.00390486332978346
benign_200,U-KAN,0.954844617409718,0.91359106341036,0.128952026367188,0.0804638504319015,0.0128978819074666
benign_200,Attention-U-KAN,0.953521691787495,0.911171960569551,0.128952026367188,0.0803455212400899,0.0156194533191338
benign_205,U-Net,0.63745239297022,0.467838620596754,0.224960327148438,0.00705419521128671,0.528861154446178
benign_205,U-KAN(no-KAN),0.856018168054504,0.748279512969825,0.224960327148438,0.0250288272400461,0.232991928372787
benign_205,U-KAN,0.879152348224513,0.784363822176801,0.224960327148438,0.0619276944990843,0.1670623346673
benign_205,Attention-U-KAN,0.749812359269452,0.599759855913548,0.224960327148438,0.0168215424269145,0.390151258224242
benign_211,U-Net,0.452117263843648,0.292087542087542,0.0173492431640625,0.0448548812664908,0.6948109058927
benign_211,U-KAN(no-KAN),0.498414711477489,0.331925675675676,0.0173492431640625,0.0413368513632366,0.654353562005277
benign_211,U-KAN,0.593250444049734,0.421717171717172,0.0173492431640625,0.0448548812664908,0.559366754617414
benign_211,Attention-U-KAN,0.475765306122449,0.312133891213389,0.0173492431640625,0.0510114335971856,0.671943711521548
benign_212,U-Net,0,0,0.083984375,0,1
benign_212,U-KAN(no-KAN),0,0,0.083984375,0,1
benign_212,U-KAN,0,0,0.083984375,0.0292514534883721,1
benign_212,Attention-U-KAN,0.0182926829268293,0.00923076923076923,0.083984375,0.00381540697674419,0.990734011627907
benign_214,U-Net,0.932401597261837,0.873363612075875,0.05572509765625,0.0249178532311062,0.10487404162103
benign_214,U-KAN(no-KAN),0.947144075021313,0.899595141700405,0.05572509765625,0.014512595837897,0.0873493975903614
benign_214,U-KAN,0.915937417130735,0.844911937377691,0.05572509765625,0.119386637458927,0.0542168674698795
benign_214,Attention-U-KAN,0.91974084358059,0.85140758873929,0.05572509765625,0.118565169769989,0.047645125958379
benign_216,U-Net,0.93185088293002,0.872397746754837,0.057891845703125,0.0761729045861887,0.0611491829204006
benign_216,U-KAN(no-KAN),0.924982794218858,0.860435339308579,0.057891845703125,0.02925672113864,0.114391143911439
benign_216,U-KAN,0.946859903381642,0.899082568807339,0.057891845703125,0.0629942013705851,0.044280442804428
benign_216,Attention-U-KAN,0.93272131147541,0.873924797247481,0.057891845703125,0.0724828676858197,0.0627306273062731
benign_219,U-Net,0.487832167832168,0.322604513503515,0.0253448486328125,0.627332931968694,0.475015051173992
benign_219,U-KAN(no-KAN),0.501468542278559,0.334639983494945,0.0253448486328125,1.91812161348585,0.0234798314268513
benign_219,U-KAN,0.164021164021164,0.0893371757925072,0.0253448486328125,0.880192655027092,0.832028898254064
benign_219,Attention-U-KAN,0.824958586416345,0.702067669172932,0.0253448486328125,0.281155930162553,0.100541842263697
benign_222,U-Net,0.920761398849048,0.853158326497129,0.035186767578125,0.0572419774501301,0.0980052038161318
benign_222,U-KAN(no-KAN),0.894941634241245,0.809859154929577,0.035186767578125,0.0468343451864701,0.152211621856028
benign_222,U-KAN,0.906288032454361,0.828635014836795,0.035186767578125,0.169124024284475,0.0312228967909801
benign_222,Attention-U-KAN,0.954116638078902,0.912259122591226,0.035186767578125,0.0576756287944493,0.0351257588898526
benign_226,U-Net,0.896130346232179,0.811808118081181,0.0294189453125,0.12448132780083,0.0871369294605809
benign_226,U-KAN(no-KAN),0.865725288831836,0.763241285649615,0.0294189453125,0.145746887966805,0.12551867219917
benign_226,U-KAN,0.899848254931715,0.817931034482759,0.0294189453125,0.128112033195021,0.0772821576763486
benign_226,Attention-U-KAN,0.893320039880359,0.807207207207207,0.0294189453125,0.151452282157676,0.0705394190871369
benign_232,U-Net,0.960922313828005,0.924783898851761,0.1131591796875,0.0451725997842503,0.0334412081984898
benign_232,U-KAN(no-KAN),0.954392573658012,0.912763767370046,0.1131591796875,0.0480043149946063,0.0434196332254585
benign_232,U-KAN,0.946827222297389,0.899023638232271,0.1131591796875,0.0496224379719525,0.0563646170442287
benign_232,Attention-U-KAN,0.962778822897071,0.928229045213111,0.1131591796875,0.0408576051779935,0.0338457389428263
benign_24,U-Net,0.927075812274368,0.864064602960969,0.0210113525390625,0.0791575889615105,0.0675381263616558
benign_24,U-KAN(no-KAN),0.912164645350974,0.838513513513514,0.0210113525390625,0.074800290486565,0.0987654320987654
benign_24,U-KAN,0.926722566532993,0.863451086956522,0.0210113525390625,0.0689905591866376,0.0769789397240378
benign_24,Attention-U-KAN,0.927318295739348,0.864485981308411,0.0210113525390625,0.0878721859114016,0.0595497458242556
benign_252,U-Net,0.923539654899478,0.857941176470588,0.047637939453125,0.0890454836643177,0.0656630365150545
benign_252,U-KAN(no-KAN),0.937027707808564,0.881516587677725,0.047637939453125,0.0813581037796284,0.0467648942985266
benign_252,U-KAN,0.944911297852474,0.895575221238938,0.047637939453125,0.0858424087123639,0.0275464445868033
benign_252,Attention-U-KAN,0.946540375662225,0.898506552880219,0.047637939453125,0.0509288917360666,0.0557335041639974
benign_255,U-Net,0.932589766167694,0.873693858845096,0.0738677978515625,0.126833298905185,0.0154926668043793
benign_255,U-KAN(no-KAN),0.919206303996962,0.85049191848208,0.0738677978515625,0.175790126007023,0
benign_255,U-KAN,0.911809235427706,0.837913043478261,0.0738677978515625,0.187771121669077,0.00475108448667631
benign_255,Attention-U-KAN,0.90150032615786,0.820665083135392,0.0738677978515625,0.217517041933485,0.000826275562900227
benign_258,U-Net,0.941214470284238,0.88895668090299,0.0245513916015625,0.0186451211932878,0.0944686140459913
benign_258,U-KAN(no-KAN),0.946434231378764,0.898315282791817,0.0245513916015625,0.0329397141081417,0.072094468614046
benign_258,U-KAN,0.9475,0.900237529691211,0.0245513916015625,0.0466128029832194,0.057799875699192
benign_258,Attention-U-KAN,0.934333958724203,0.876760563380282,0.0245513916015625,0.0590428837787446,0.0714729645742697
benign_259,U-Net,0.964547319074128,0.931522354272779,0.051177978515625,0.0536672629695885,0.0184853905784138
benign_259,U-KAN(no-KAN),0.951369961268111,0.907250341997264,0.051177978515625,0.0897435897435897,0.011329755515802
benign_259,U-KAN,0.951633986928105,0.907730673316708,0.051177978515625,0.0760286225402504,0.0232558139534884
benign_259,Attention-U-KAN,0.94263698630137,0.891497975708502,0.051177978515625,0.104651162790698,0.0152057245080501
benign_263,U-Net,0.922540473225405,0.856218215441516,0.0315399169921875,0.04644412191582,0.104015481373972
benign_263,U-KAN(no-KAN),0.916019417475728,0.845051500223914,0.0315399169921875,0.0803096274794388,0.0870827285921626
benign_263,U-KAN,0.926744474795133,0.863489125404905,0.0315399169921875,0.0454765360425738,0.0972423802612482
benign_263,Attention-U-KAN,0.940661478599222,0.887970615243343,0.0315399169921875,0.0537010159651669,0.0643444605708757
benign_267,U-Net,0.86356623319374,0.75989138867339,0.038818359375,0.0133647798742138,0.229952830188679
benign_267,U-KAN(no-KAN),0.914735099337748,0.842868039664378,0.038818359375,0.0306603773584906,0.131289308176101
benign_267,U-KAN,0.903287098612958,0.823631323631324,0.038818359375,0.134433962264151,0.0656446540880503
benign_267,Attention-U-KAN,0.941296371789645,0.889102810935695,0.038818359375,0.0208333333333333,0.092374213836478
benign_269,U-Net,0.191904047976012,0.106135986733002,0.045379638671875,0.0137861466039005,0.892400806993948
benign_269,U-KAN(no-KAN),0,0,0.045379638671875,0,1
benign_269,U-KAN,0.836982201921562,0.719664138678223,0.045379638671875,0.24142568930733,0.106590450571621
benign_269,Attention-U-KAN,0.72093687517852,0.563644484144707,0.045379638671875,0.505716207128447,0.151311365164761
benign_276,U-Net,0.967843342720545,0.937690355329949,0.11669921875,0.0303347280334728,0.0338650627615063
benign_276,U-KAN(no-KAN),0.965418243507765,0.933148335015136,0.11669921875,0.0366108786610879,0.0326882845188285
benign_276,U-KAN,0.950415402874852,0.905515768312602,0.11669921875,0.0406642259414226,0.0576621338912134
benign_276,Attention-U-KAN,0.962053718735564,0.926881993896236,0.11669921875,0.0282426778242678,0.0469403765690377
benign_278,U-Net,0.944375772558714,0.894613583138173,0.031707763671875,0.0274302213666987,0.080846968238691
benign_278,U-KAN(no-KAN),0.914755732801595,0.842903077629766,0.031707763671875,0.0476419634263715,0.116939364773821
benign_278,U-KAN,0.94555177442878,0.896726602120793,0.031707763671875,0.0437921077959577,0.0640038498556304
benign_278,Attention-U-KAN,0.944829233341294,0.895427795382526,0.031707763671875,0.063041385948027,0.0481231953801732
benign_279,U-Net,0.94216787838731,0.890659169009684,0.0457763671875,0.067,0.0496666666666667
benign_279,U-KAN(no-KAN),0.931583264971288,0.871928746928747,0.0457763671875,0.0853333333333333,0.0536666666666667
benign_279,U-KAN,0.948774302620456,0.902541009971052,0.0457763671875,0.0363333333333333,0.0646666666666667
benign_279,Attention-U-KAN,0.949225189581273,0.903357389394415,0.0457763671875,0.0623333333333333,0.0403333333333333
benign_285,U-Net,0.948273649082274,0.901635342933854,0.0587005615234375,0.064985703145308,0.0397712503249285
benign_285,U-KAN(no-KAN),0.962087769410543,0.92694520890668,0.0587005615234375,0.0389914218871848,0.036911879386535
benign_285,U-KAN,0.949121426698138,0.903169453456451,0.0587005615234375,0.0415908500129971,0.0592669612685209
benign_285,Attention-U-KAN,0.937492075567389,0.882338902147971,0.0587005615234375,0.0891603847153626,0.0389914218871848
benign_287,U-Net,0.949179148407352,0.903273994771567,0.116943359375,0.0481471816283925,0.0532359081419624
benign_287,U-KAN(no-KAN),0.943175987685993,0.892462677509406,0.116943359375,0.0750260960334029,0.0405793319415449
benign_287,U-KAN,0.93979558193208,0.88642866028113,0.116943359375,0.0489300626304802,0.0701983298538622
benign_287,Attention-U-KAN,0.945617149996712,0.896844206062118,0.116943359375,0.0460594989561587,0.0618475991649269
benign_29,U-Net,0.912676056338028,0.839378238341969,0.0054473876953125,0.0812324929971989,0.092436974789916
benign_29,U-KAN(no-KAN),0.718132854578097,0.560224089635854,0.0054473876953125,0,0.439775910364146
benign_29,U-KAN,0.917847025495751,0.848167539267016,0.0054473876953125,0.0700280112044818,0.092436974789916
benign_29,Attention-U-KAN,0.881203007518797,0.787634408602151,0.0054473876953125,0.0420168067226891,0.179271708683473
benign_293,U-Net,0.722535211267606,0.565600882028666,0.0404815673828125,0.025631360723709,0.419901997738409
benign_293,U-KAN(no-KAN),0.954029406290713,0.912099644128114,0.0404815673828125,0.0591782887297399,0.0339238597813796
benign_293,U-KAN,0.934174932371506,0.876480541455161,0.0404815673828125,0.113833396155296,0.0237467018469657
benign_293,Attention-U-KAN,0.885349203570803,0.79428391959799,0.0404815673828125,0.200150772710139,0.0467395401432341
benign_304,U-Net,0.763671440231506,0.617692954027128,0.109832763671875,0.157404834676299,0.285079188663518
benign_304,U-KAN(no-KAN),0.865622423742787,0.763081395348837,0.109832763671875,0.146985273687135,0.124756876910253
benign_304,U-KAN,0.746388904874259,0.595391112743298,0.109832763671875,0.513198110586274,0.0990552931369825
benign_304,Attention-U-KAN,0.886816555952989,0.796649070461327,0.109832763671875,0.210614059460961,0.0355654348430119
benign_306,U-Net,0.570223929541835,0.398820445609436,0.05609130859375,1.07562568008705,0.172198041349293
benign_306,U-KAN(no-KAN),0.584233947870311,0.412662775033678,0.05609130859375,1.42328618063112,0
benign_306,U-KAN,0.401181600787734,0.250923807847968,0.05609130859375,2.09194776931447,0.224156692056583
benign_306,Attention-U-KAN,0.5581960367474,0.387151132174829,0.05609130859375,1.58297062023939,0
benign_307,U-Net,0.92688749626977,0.863737486095662,0.0264129638671875,0.0387059503177354,0.102830733679954
benign_307,U-KAN(no-KAN),0.932384341637011,0.873333333333333,0.0264129638671875,0.0398613518197574,0.0918544194107452
benign_307,U-KAN,0.930693069306931,0.87037037037037,0.0264129638671875,0.0606585788561525,0.0768341998844598
benign_307,Attention-U-KAN,0.924483775811209,0.85957213384531,0.0264129638671875,0.0531484690930098,0.0947429231658001
